"Country Name","Country Code","Year","Agriculture (% GDP)","Ease of Doing Business","Education Expenditure (% GDP)","Export (% GDP)","GDP","Health Expenditure (% GDP)","Import (% GDP)","Industry (% GDP)","Inflation Rate","R&D","Service (% GDP)","Unemployment","Population","Land","Continent Name","Export","Import","Education Expenditure","Health Expenditure","Net Trade","GDP Per Capita","Population Density"
"Brazil","BRA",2021,7.48692132808022,56.827378,13.9361851340846,19.5616763376612,1649622972159.35,8.55106340142857,18.6197503146106,20.1501991631351,8.30165975585676,18512002972.9259,57.7556088701788,13.34,214326223,8515770,"South America",322693906605.519,307155678548.529,229894511414.516,141060306233.876,15538228056.9897,7696.78553127561,25.1681554339772
"Brazil","BRA",2022,6.81318197126279,56.827378,13.9361851340846,20.045538006281,1920095560995.06,8.55106340142857,19.2944556126532,20.6976228826191,9.2801060895687,21547235540.0788,58.9099871277796,9.461,215313498,8515770,"South America",384893485436.179,370471985736.716,267588072131.612,164188588788.703,14421499699.463,8917.67389796928,25.2840903406269
"Canada","CAN",2012,1.81134574390941,79.583546,12.8726816177368,30.3530255225878,1828366481521.6,10.51472855,32.2425234169127,26.6346687974256,1.51567823124521,32404505412.5704,65.1632411251064,7.29,34714222,9879750,"North America",554964544782.692,589511490951.585,235359795971.692,192247772431.182,-34546946168.8929,52669.0899632318,3.51367413143045
"Canada","CAN",2013,1.89423151227836,79.583546,11.2129096984863,30.3319386683867,1846597421834.98,10.41469765,31.8991362329537,26.6132351758366,0.93829189781521,31491872248.8243,65.1674412760895,7.07,35082954,9879750,"North America",560108797442.996,589048627265.351,207057301404.932,192317538296.808,-28939829822.3549,52635.1749580432,3.55099612844455
"Canada","CAN",2014,1.58654807741954,79.583546,12.1208801269531,31.7365758733408,1805749878439.94,10.25806713,32.6420862831515,27.1379424601872,1.90663590717873,30953622313.7702,64.9019974464847,6.91,35437435,9879750,"North America",573083180253.851,589434433378.269,218872778158.306,185235034730.262,-16351253124.4177,50955.9983232404,3.58687568005263
"Canada","CAN",2015,1.86983594598587,79.75597,12.351619720459,31.8499609634443,1556508816217.14,10.74362469,34.3149411035338,24.4156825468916,1.12524136094279,26355430603.5098,67.0009977683349,6.91,35702908,9879750,"North America",495747450357.728,534115083556.223,192254049894.559,167225465481.131,-38367633198.4946,43596.1355365546,3.61374609681419
"Canada","CAN",2016,1.86222589313529,79.54094,12.0354995727539,31.5025724093362,1527994741907.43,11.03318405,33.8611121122194,23.2953005455848,1.4287595470108,26414902941.0421,67.9588532993538,7,36109487,9879750,"North America",481357649980.238,517396012626.092,183901800633.971,168586472148.969,-36038362645.8545,42315.6037056807,3.65489885877679
"Canada","CAN",2017,1.88999463244888,79.30059,12.1707401275635,31.4544101509781,1649265644244.09,10.86184978,33.6466506994867,24.0278028870792,1.5968841285297,27803319510.296,67.1166720622468,6.34,36545236,9879750,"North America",518766780219.707,554922650425.448,200727835574.134,179140756750.942,-36155870205.7406,45129.4292980921,3.69900412459829
"Canada","CAN",2018,1.69989157622406,79.6798,12.0848703384399,32.3254037264858,1725297938435.76,10.84608173,34.2744821243903,24.6223059554353,2.268225672481,28970685608.0465,66.8658461527451,5.83,37065084,9879750,"North America",557709524084.096,591336933501.639,208500018811.738,187127224488.748,-33627409417.5432,46547.7951820036,3.7516216503454
"Canada","CAN",2019,1.69707935336103,79.64043,11.7379398345947,32.3526958202565,1743725183672.52,10.95021915,33.8187894602395,24.0774078769413,1.94926902411596,27753652826.9228,67.6711634824727,5.66,37601230,9879750,"North America",564142104614.779,589706748631.384,204677412940.156,190941728985.881,-25564644016.6046,46374.152751719,3.80588881297604
